date;5y Note;2y Note;10y Note;30y Bond;10y Note Ultra;30y Bond Ultra
2019-01-02;100.0;100.0;100.0;100.0;100.0;100.0
2019-01-03;100.5381607629;100.2282096584;100.7928388747;101.2990204429;100.9347395889;101.4884587325
2019-01-04;100.0612942779;100.0368080094;100.0895140665;100.0851788756;100.0240143856;100.11598681
2019-01-07;99.9114100822;99.9558303887;99.8849104859;99.8296422487;99.8322827639;100.07732454
2019-01-08;99.693426431;99.8380447585;99.641943734;99.5102640545;99.5686038511;99.8259811228
2019-01-09;99.7343188011;99.874852768;99.6163682864;99.1908006814;99.4727380402;99.2654168701
2019-01-10;99.7411239786;99.874852768;99.6163682864;98.9991908007;99.4488195204;98.8594243729
2019-01-11;99.8638010899;99.9042991755;99.8081841432;99.3185689949;99.7004433075;99.0913979929
2019-01-14;99.8501158043;99.9190223793;99.7698209719;99.0843696763;99.628579899;98.666113023
2019-01-15;99.8638010899;99.9263839812;99.7698209719;99.0843696763;99.628579899;98.5308337403
2019-01-16;99.7820163488;99.8969375736;99.6163682864;98.9352640545;99.4488195204;98.4148469303
2019-01-17;99.6594209814;99.8601295642;99.4501278772;98.8288330494;99.2930495609;98.4148469303
2019-01-18;99.4482425068;99.7681095406;99.168797954;98.4881175468;98.9934089858;98.0282242303
2019-01-22;99.6594209814;99.8380447585;99.5012787724;99.0843696763;99.4248051348;98.7628073602
2019-01-23;99.5640326975;99.808598351;99.347826087;98.7862436116;99.2091549932;98.550126213
2019-01-24;99.7479223438;99.8638103651;99.641943734;99.3399063032;99.5806469936;99.1687225329
2019-01-25;99.5640326975;99.7938751472;99.3606138107;98.8714224872;99.2451166555;98.6854828202
2019-01-28;99.6049250686;99.8049175501;99.4373401535;98.8714224872;99.3050208041;98.704775293
2019-01-29;99.7343188011;99.8527679623;99.6675191816;99.2547274276;99.5686038511;99.0721055202
2019-01-30;99.9114100822;99.9227031802;99.8465473146;99.2759795571;99.7124025674;98.8594243729
2019-01-31;100.1498841966;100.0368080094;100.2301790281;99.9574105622;100.2277052673;99.6713320428
2019-02-01;99.8638010899;99.9447879859;99.7953964194;99.4463373083;99.7603354728;99.1494300601
2019-02-04;99.7548092643;99.9006183746;99.6163682864;98.9778534923;99.4727380402;98.6854828202
2019-02-05;99.8365122616;99.9153415783;99.7442455243;99.2759795571;99.652510402;99.1300602629
2019-02-06;99.8501158043;99.9006183746;99.7570332481;99.2547274276;99.652510402;99.0913979929
2019-02-07;100.0544959128;99.9852767962;100.0767263427;99.8296422487;100.0958658109;99.8646433928
2019-02-08;100.1089918256;100.0110424028;100.1534526854;100.0851788756;100.2277052673;100.2899283627
2019-02-11;99.9591076299;99.9558303887;99.9488491049;99.7444633731;100.0;99.84535092
2019-02-12;99.9046117171;99.9263839812;99.8081841432;99.4676746167;99.7963091183;99.4780206928
2019-02-13;99.7548092643;99.8564487633;99.641943734;99.3185689949;99.6045774966;99.2847093429
2019-02-14;99.9727929155;99.933745583;99.9872122762;99.8296422487;100.0120431425;99.6907018401
