date;CF Index;DM Index;EO Index;ES Index;FA Index;FFB Index;FFD Index;FT Index;GX Index;HC Index;HI Index;HWA Index;HWB Index;IB Index;IFB Index;IFD Index;KM Index;MES Index;MX Index;NH Index;NI Index;NK Index;NO Index;NQ Index;PT Index;RTY Index;SM Index;ST Index;TP Index;UX Index;VG Index;XB Index;XP Index;Z  Index
1988-02-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;177.32
1988-02-29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.5175113122
1988-03-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179.0309445701
1988-03-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;181.3341968326
1988-03-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;181.4341968326
1988-03-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184.5447171946
1988-03-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182.5909841629
1988-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182.9034558824
1988-03-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;183.3736906109
1988-03-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184.0509700226
1988-03-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180.5932494344
1988-03-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182.0454895206
1988-03-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184.2774005552
1988-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182.0535543485
1988-03-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182.7204212807
1988-03-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185.7271520499
1988-03-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184.858045771
1988-03-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184.3459389956
1988-03-23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;183.215855333
1988-03-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178.469447964
1988-03-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174.2550225103
1988-03-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172.2777428111
1988-03-29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.1472925967
1988-03-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174.991343259
1988-03-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172.984597965
1988-04-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;173.7209858973
1988-04-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175.4005751902
1988-04-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.2385782747
1988-04-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178.4432743641
1988-04-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;181.6098152553
1988-04-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180.6255899262
1988-04-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180.4196722789
1988-04-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.7968989495
1988-04-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175.6867324167
1988-04-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.7532716176
1988-04-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178.0247207124
1988-04-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.3290073623
1988-04-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178.5605096968
1988-04-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175.0704911051
1988-04-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.9598275089
1988-04-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178.9543397942
1988-04-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179.164512401
1988-04-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178.2202473006
1988-04-29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;177.4840553203
1988-05-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178.8459558971
1988-05-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;177.697704677
1988-05-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.5482217581
1988-05-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.9652077933
1988-05-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;177.0178265265
1988-05-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.8598359596
1988-05-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172.7946140215
1988-05-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174.1134415308
1988-05-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175.3838828719
1988-05-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175.0666084545
1988-05-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.8405122848
1988-05-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175.6925689895
1988-05-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;173.5500065066
1988-05-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174.1754183757
1988-05-23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;173.2859918657
1988-05-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175.8991528739
1988-05-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.3163628542
1988-05-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175.5864413407
1988-05-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175.1709109496
1988-05-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175.8398521745
1988-06-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179.4130384294
1988-06-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179.4130384294
1988-06-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179.8650159081
1988-06-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180.5711096482
1988-06-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179.9626952227
1988-06-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180.0644279462
1988-06-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182.2485518661
1988-06-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182.4011425534
1988-06-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;181.3841512365
1988-06-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184.5621075674
1988-06-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;186.1519759167
1988-06-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184.7111577251
1988-06-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;183.3227491075
