Date,Rm,Rf,D,dp,xp
1871.12,NaN,NaN,5.042,0.05841,0.08437
1872.03,0.06159,0.00751733,5.162,0.05359,0.08437
1872.06,0.01669,0.00448611,5.272,0.05353,0.08437
1872.09,-0.021,0.0128,5.462,0.05548,0.08437
1872.12,0.04707,0.0299138,5.691,0.05657,0.08437
1873.03,0.00104,0.00241475,5.711,0.05852,0.08437
1873.06,0.04244,0.0776762,6.161,0.05815,0.08437
1873.09,-0.06218,0.01488,6.301,0.0661,0.08437
1873.12,0.01163,0.0657438,6.65,0.07015,0.08437
1874.03,0.07205,0.00659774,6.55,0.072,0.08437
1874.06,0.00681,0.0620903,6.87,0.07058,0.08437
1874.09,0.03647,0.0117,6.87,0.07102,0.08437
1874.12,0.04336,0.0389639,7.039,0.07096,0.08437
1875.03,0.0288,0.0128,6.88,0.07192,0.09477
1875.06,0.00469,0.0471204,6.95,0.07173,0.09364
1875.09,0.01517,0.00918,6.78,0.07149,0.08807
1875.12,0.03486,0.0301151,6.73,0.06914,0.08238
1876.03,0.05845,0.0227438,6.79,0.06592,0.07541
1876.06,0.00751,0.0874517,7.299,0.06721,0.07709
1876.09,-0.10956,-0.0089814,7.169,0.08052,0.08131
1876.12,-0.0534,-0.0344641,6.85,0.08856,0.07817
1877.03,-0.04477,0.069192,6.57,0.09117,0.08986
1877.06,-0.11112,0.0178991,5.961,0.09766,0.10622
1877.09,0.25402,0.0484758,5.502,0.07151,0.091
1877.12,0.0381,0.0340037,4.903,0.06775,0.09227
1878.03,0.07593,0.0763639,5.142,0.05781,0.0934
1878.06,0.1394,0.0794222,5.422,0.05063,0.08948
1878.09,0.02247,-0.015029,5.232,0.05283,0.08736
1878.12,0.039,0.0562391,5.402,0.05074,0.0899
1879.03,0.05908,-0.0017535,5.492,0.04898,0.08974
1879.06,0.12382,0.0341812,5.771,0.04468,0.08713
1879.09,0.02953,-0.0368124,5.652,0.04619,0.08593
1879.12,0.02764,-0.116107,5.062,0.04661,0.07725
1880.03,0.04709,-0.0264622,5.232,0.04009,0.07685
1880.06,-0.00052,0.105801,6.121,0.04051,0.09082
1880.09,0.08302,-0.0005653,6.45,0.04297,0.08931
1880.12,0.11713,-0.00926734,6.71,0.04234,0.08389
1881.03,0.08029,0.0128,7.099,0.0413,0.05474
1881.06,0.06612,0.01168,7.479,0.04105,0.05255
1881.09,-0.10148,-0.0596964,7.359,0.04882,0.05979
1881.12,-0.02555,0.01203,7.718,0.05187,0.06266
1882.03,-0.034,0.00357173,7.649,0.05502,0.06626
1882.06,-0.03042,-0.0149307,7.439,0.05792,0.0698
1882.09,0.14364,0.0381261,7.649,0.05036,0.06219
1882.12,-0.02418,0.0441352,7.868,0.05183,0.06501
1883.03,-0.00163,0.0125,7.928,0.05512,0.06644
1883.06,0.07766,0.0649172,8.387,0.05212,0.06288
1883.09,-0.00597,0.0422362,8.717,0.05518,0.06454
1883.12,-0.01943,0.0128,8.777,0.06059,0.06713
1884.03,0.0077,0.01155,8.647,0.06275,0.06787
1884.06,-0.1065,0.0526893,8.877,0.0702,0.07748
1884.09,0.06977,0.0343872,8.937,0.06858,0.0737
1884.12,0.00669,0.0579738,9.196,0.06904,0.07445
1885.03,0.03799,0.0226509,8.777,0.06952,0.07281
1885.06,0.03351,0.0447413,8.547,0.06543,0.07154
1885.09,0.09631,0.00668,8.008,0.05899,0.06616
1885.12,0.09174,-0.0272956,7.199,0.05184,0.06134
1886.03,0.04589,0.0448138,7.309,0.04678,0.05937
1886.06,0.07438,0.0583899,7.509,0.04239,0.05608
1886.09,0.03409,-0.0173964,7.169,0.04255,0.05511
1886.12,0.02095,0.000649269,6.92,0.04068,0.05497
1887.03,-0.02042,-0.0235731,6.91,0.04101,0.05723
